chain,conId,localSymbol,expiry,strike,right,exchange,tradingClass,bid,ask,last,close,iv,delta,gamma,vega,theta,has_bid_ask,has_greeks
SPXW,872180719,SPXW  260518P02800000,20260518,2800.0,P,SMART,SPXW,-1.0,-1.0,,0.0,1.0204753939174591,0.0,6.958101326144832e-29,0.0,-0.0,True,True
SPXW,872180734,SPXW  260518P03000000,20260518,3000.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.9375131869928194,0.0,2.1657049806039283e-28,0.0,-0.0,True,True
SPXW,872180760,SPXW  260518P03200000,20260518,3200.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.8604150198768069,0.0,2.0386450457610303e-28,0.0,-0.0,True,True
SPXW,872180784,SPXW  260518P03400000,20260518,3400.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.7994121517792921,0.0,3.18565251654106e-28,0.0,-0.0,True,True
SPXW,872180808,SPXW  260518P03600000,20260518,3600.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.7561855561932184,0.0,1.886648083248588e-27,0.0,-0.0,True,True
SPXW,872180825,SPXW  260518P03800000,20260518,3800.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.7283603443058115,0.0,4.853291883615464e-26,0.0,-0.0,True,True
SPXW,872180849,SPXW  260518P04000000,20260518,4000.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.7119611986098557,0.0,3.8306091513245156e-24,0.0,-0.0,True,True
SPXW,872180865,SPXW  260518P04200000,20260518,4200.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.7026711662817329,0.0,5.345822618658336e-22,0.0,-0.0,True,True
SPXW,872180895,SPXW  260518P04400000,20260518,4400.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.696509784882164,0.0,7.876555730252139e-20,0.0,-0.0,True,True
SPXW,872180908,SPXW  260518P04600000,20260518,4600.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.6901200158087254,-4.441011113912479e-16,8.569532460815235e-18,-1.4166052713844073e-13,-2.8372360274402586e-13,True,True
SPXW,872180925,SPXW  260518P04800000,20260518,4800.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.6809084584788483,-3.2530406409408906e-14,5.707960288306906e-16,2.842865340499134e-12,-1.398826301277116e-12,True,True
SPXW,872180945,SPXW  260518P05000000,20260518,5000.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.6670062015364207,-1.2987737002637045e-12,2.201799011435384e-14,9.144505149647499e-11,-7.29385459085607e-11,True,True
SPXW,872180968,SPXW  260518P05200000,20260518,5200.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.6472373618879096,-3.053095218064766e-11,5.042833376561649e-13,1.9434362573439615e-09,-1.7797203352107973e-09,True,True
SPXW,872180982,SPXW  260518P05400000,20260518,5400.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.6210310294857909,-4.50397576948553e-10,7.332086374096343e-12,2.6196168645986642e-08,-2.669028464425635e-08,True,True
SPXW,872181000,SPXW  260518P05500000,20260518,5500.0,P,SMART,SPXW,-1.0,-1.0,,0.0,0.6054825125575569,-1.4903947808826334e-09,2.420324435450061e-11,8.313784995595341e-08,-8.859673935747952e-08,True,True
