ContractSuffix,OptionRoot,OptionType,DeltaPct,TargetDelta,N,Corr,StartDate,EndDate
(Jan 25),SPX,p,0.1,-0.001,184,0.1524407701507873,2024-01-18,2025-02-20
(Jan 25),SPX,p,0.5,-0.005,184,0.42607290894451133,2024-01-18,2025-02-20
(Jan 25),SPX,p,1.0,-0.01,184,0.5941848211893985,2024-01-18,2025-02-20
(Jan 25),SPX,p,2.0,-0.02,184,0.7060472195545217,2024-01-18,2025-02-20
(Jan 25),SPX,p,5.0,-0.05,184,0.7497554700036771,2024-01-18,2025-02-20
(Jan 25),SPX,p,10.0,-0.1,184,0.7117696931503842,2024-01-18,2025-02-20
(Jan 25),SPX,p,15.0,-0.15,184,0.7162665185802811,2024-01-18,2025-02-20
(Jan 25),SPX,p,20.0,-0.2,184,0.7097161254020786,2024-01-18,2025-02-20
(Jan 25),SPX,p,25.0,-0.25,184,0.7572450058378919,2024-01-18,2025-02-20
(Jan 25),SPX,p,30.0,-0.3,184,0.7251668233082262,2024-01-18,2025-02-20
(Jan 25),SPX,p,35.0,-0.35,184,0.7250573273430754,2024-01-18,2025-02-20
(Jan 25),SPX,p,40.0,-0.4,184,0.6900838453483287,2024-01-18,2025-02-20
(Jan 25),SPX,p,45.0,-0.45,184,0.690768642295529,2024-01-18,2025-02-20
(Jan 25),SPX,p,50.0,-0.5,184,0.7053403212064527,2024-01-18,2025-02-20
(Jan 25),VIX,p,0.1,-0.001,50,,2024-04-25,2025-01-21
(Jan 25),VIX,p,0.5,-0.005,49,,2024-04-25,2025-01-21
(Jan 25),VIX,p,1.0,-0.01,50,,2024-04-25,2025-01-21
(Jan 25),VIX,p,2.0,-0.02,166,,2024-04-25,2025-01-21
(Jan 25),VIX,p,5.0,-0.05,178,,2024-04-25,2025-01-21
(Jan 25),VIX,p,10.0,-0.1,180,,2024-04-25,2025-01-21
(Jan 25),VIX,p,15.0,-0.15,180,0.3782711962847819,2024-04-25,2025-01-21
(Jan 25),VIX,p,20.0,-0.2,180,0.3770480055770293,2024-04-25,2025-01-21
(Jan 25),VIX,p,25.0,-0.25,180,0.5238965207920214,2024-04-25,2025-01-21
(Jan 25),VIX,p,30.0,-0.3,180,0.44598786843304833,2024-04-25,2025-01-21
(Jan 25),VIX,p,35.0,-0.35,180,0.4399912475257344,2024-04-25,2025-01-21
(Jan 25),VIX,p,40.0,-0.4,180,0.5423242788919357,2024-04-25,2025-01-21
(Jan 25),VIX,p,45.0,-0.45,180,0.5938722172654786,2024-04-25,2025-01-21
(Jan 25),VIX,p,50.0,-0.5,180,0.5606700558426628,2024-04-25,2025-01-21
(Jan 25),SPX,c,0.1,0.001,137,,2024-01-18,2025-02-20
(Jan 25),SPX,c,0.5,0.005,184,,2024-01-18,2025-02-20
(Jan 25),SPX,c,1.0,0.01,184,-0.1032363086129483,2024-01-18,2025-02-20
(Jan 25),SPX,c,2.0,0.02,184,0.07736119042774882,2024-01-18,2025-02-20
(Jan 25),SPX,c,5.0,0.05,184,0.10977153276086743,2024-01-18,2025-02-20
(Jan 25),SPX,c,10.0,0.1,184,0.11306336215275789,2024-01-18,2025-02-20
(Jan 25),SPX,c,15.0,0.15,184,0.1611543837548273,2024-01-18,2025-02-20
(Jan 25),SPX,c,20.0,0.2,184,0.268124283230642,2024-01-18,2025-02-20
(Jan 25),SPX,c,25.0,0.25,184,0.2262006359129349,2024-01-18,2025-02-20
(Jan 25),SPX,c,30.0,0.3,184,0.24332354145419396,2024-01-18,2025-02-20
(Jan 25),SPX,c,35.0,0.35,184,0.34903860949393145,2024-01-18,2025-02-20
(Jan 25),SPX,c,40.0,0.4,184,0.5275644766777111,2024-01-18,2025-02-20
(Jan 25),SPX,c,45.0,0.45,184,0.5301722640748887,2024-01-18,2025-02-20
(Jan 25),SPX,c,50.0,0.5,184,0.6317239741545044,2024-01-18,2025-02-20
(Jan 25),VIX,c,0.1,0.001,145,,2024-04-25,2025-01-21
(Jan 25),VIX,c,0.5,0.005,145,,2024-04-25,2025-01-21
(Jan 25),VIX,c,1.0,0.01,174,,2024-04-25,2025-01-21
(Jan 25),VIX,c,2.0,0.02,174,,2024-04-25,2025-01-21
(Jan 25),VIX,c,5.0,0.05,180,0.08658136765818528,2024-04-25,2025-01-21
(Jan 25),VIX,c,10.0,0.1,180,0.3392634102533117,2024-04-25,2025-01-21
(Jan 25),VIX,c,15.0,0.15,180,0.2910943911201699,2024-04-25,2025-01-21
(Jan 25),VIX,c,20.0,0.2,180,0.554581196657861,2024-04-25,2025-01-21
(Jan 25),VIX,c,25.0,0.25,180,0.6028624440187479,2024-04-25,2025-01-21
(Jan 25),VIX,c,30.0,0.3,180,0.5680305255364726,2024-04-25,2025-01-21
(Jan 25),VIX,c,35.0,0.35,180,0.5904174349243388,2024-04-25,2025-01-21
(Jan 25),VIX,c,40.0,0.4,180,0.5748416985266463,2024-04-25,2025-01-21
(Jan 25),VIX,c,45.0,0.45,180,0.581815088017733,2024-04-25,2025-01-21
(Jan 25),VIX,c,50.0,0.5,180,0.5912403732450022,2024-04-25,2025-01-21
(Feb 25),SPX,p,0.1,-0.001,178,,2023-12-15,2025-03-20
(Feb 25),SPX,p,0.5,-0.005,178,0.4761227120092746,2023-12-15,2025-03-20
(Feb 25),SPX,p,1.0,-0.01,178,0.6376700000100964,2023-12-15,2025-03-20
(Feb 25),SPX,p,2.0,-0.02,178,0.7423675289666125,2023-12-15,2025-03-20
(Feb 25),SPX,p,5.0,-0.05,178,0.8002487771487408,2023-12-15,2025-03-20
(Feb 25),SPX,p,10.0,-0.1,178,0.7726718399811581,2023-12-15,2025-03-20
(Feb 25),SPX,p,15.0,-0.15,178,0.7909341750470537,2023-12-15,2025-03-20
(Feb 25),SPX,p,20.0,-0.2,178,0.7779591520659551,2023-12-15,2025-03-20
(Feb 25),SPX,p,25.0,-0.25,178,0.7833147873411338,2023-12-15,2025-03-20
(Feb 25),SPX,p,30.0,-0.3,178,0.7872282965976408,2023-12-15,2025-03-20
(Feb 25),SPX,p,35.0,-0.35,178,0.7804715832973653,2023-12-15,2025-03-20
(Feb 25),SPX,p,40.0,-0.4,178,0.7736874968460843,2023-12-15,2025-03-20
(Feb 25),SPX,p,45.0,-0.45,178,0.7763437698151866,2023-12-15,2025-03-20
(Feb 25),SPX,p,50.0,-0.5,178,0.7592845440263875,2023-12-15,2025-03-20
(Feb 25),VIX,p,0.1,-0.001,10,,2024-05-30,2025-02-18
(Feb 25),VIX,p,0.5,-0.005,9,,2024-05-30,2025-02-18
(Feb 25),VIX,p,1.0,-0.01,32,,2024-05-30,2025-02-18
(Feb 25),VIX,p,2.0,-0.02,158,,2024-05-30,2025-02-18
(Feb 25),VIX,p,5.0,-0.05,172,,2024-05-30,2025-02-18
(Feb 25),VIX,p,10.0,-0.1,175,,2024-05-30,2025-02-18
(Feb 25),VIX,p,15.0,-0.15,174,,2024-05-30,2025-02-18
(Feb 25),VIX,p,20.0,-0.2,174,,2024-05-30,2025-02-18
(Feb 25),VIX,p,25.0,-0.25,175,,2024-05-30,2025-02-18
(Feb 25),VIX,p,30.0,-0.3,175,0.4541966869615458,2024-05-30,2025-02-18
(Feb 25),VIX,p,35.0,-0.35,175,0.37835662015648336,2024-05-30,2025-02-18
(Feb 25),VIX,p,40.0,-0.4,175,0.4813434546240067,2024-05-30,2025-02-18
(Feb 25),VIX,p,45.0,-0.45,175,0.4943149218705438,2024-05-30,2025-02-18
(Feb 25),VIX,p,50.0,-0.5,175,0.5372558408383539,2024-05-30,2025-02-18
(Feb 25),SPX,c,0.1,0.001,155,,2023-12-15,2025-03-20
(Feb 25),SPX,c,0.5,0.005,178,-0.07600339502964164,2023-12-15,2025-03-20
(Feb 25),SPX,c,1.0,0.01,178,-0.10014935091823841,2023-12-15,2025-03-20
(Feb 25),SPX,c,2.0,0.02,178,-0.0806425869235404,2023-12-15,2025-03-20
(Feb 25),SPX,c,5.0,0.05,178,0.06294309148167114,2023-12-15,2025-03-20
(Feb 25),SPX,c,10.0,0.1,178,0.14900884284836416,2023-12-15,2025-03-20
(Feb 25),SPX,c,15.0,0.15,178,0.20998537260899383,2023-12-15,2025-03-20
(Feb 25),SPX,c,20.0,0.2,178,0.2089405090558926,2023-12-15,2025-03-20
(Feb 25),SPX,c,25.0,0.25,178,0.2646044141513103,2023-12-15,2025-03-20
(Feb 25),SPX,c,30.0,0.3,178,0.3901434069412802,2023-12-15,2025-03-20
(Feb 25),SPX,c,35.0,0.35,178,0.43271201101481604,2023-12-15,2025-03-20
(Feb 25),SPX,c,40.0,0.4,178,0.6214897724839203,2023-12-15,2025-03-20
(Feb 25),SPX,c,45.0,0.45,178,0.6261502292273821,2023-12-15,2025-03-20
(Feb 25),SPX,c,50.0,0.5,178,0.6838963620251934,2023-12-15,2025-03-20
(Feb 25),VIX,c,0.1,0.001,153,,2024-05-30,2025-02-18
(Feb 25),VIX,c,0.5,0.005,157,,2024-05-30,2025-02-18
(Feb 25),VIX,c,1.0,0.01,174,,2024-05-30,2025-02-18
(Feb 25),VIX,c,2.0,0.02,174,,2024-05-30,2025-02-18
(Feb 25),VIX,c,5.0,0.05,173,,2024-05-30,2025-02-18
(Feb 25),VIX,c,10.0,0.1,174,,2024-05-30,2025-02-18
(Feb 25),VIX,c,15.0,0.15,174,,2024-05-30,2025-02-18
(Feb 25),VIX,c,20.0,0.2,175,,2024-05-30,2025-02-18
(Feb 25),VIX,c,25.0,0.25,175,,2024-05-30,2025-02-18
(Feb 25),VIX,c,30.0,0.3,175,,2024-05-30,2025-02-18
(Feb 25),VIX,c,35.0,0.35,175,,2024-05-30,2025-02-18
(Feb 25),VIX,c,40.0,0.4,175,-0.0006107727718190287,2024-05-30,2025-02-18
(Feb 25),VIX,c,45.0,0.45,175,0.3384114676342188,2024-05-30,2025-02-18
(Feb 25),VIX,c,50.0,0.5,175,0.19396344652894562,2024-05-30,2025-02-18
(Mar 25),SPX,p,0.1,-0.001,179,,2024-03-14,2025-04-16
(Mar 25),SPX,p,0.5,-0.005,179,0.32157614591096434,2024-03-14,2025-04-16
(Mar 25),SPX,p,1.0,-0.01,179,0.6516140686411396,2024-03-14,2025-04-16
(Mar 25),SPX,p,2.0,-0.02,179,0.7750079871288725,2024-03-14,2025-04-16
(Mar 25),SPX,p,5.0,-0.05,179,0.8216486040890016,2024-03-14,2025-04-16
(Mar 25),SPX,p,10.0,-0.1,179,0.825492954385406,2024-03-14,2025-04-16
(Mar 25),SPX,p,15.0,-0.15,179,0.8348389483609715,2024-03-14,2025-04-16
(Mar 25),SPX,p,20.0,-0.2,179,0.8159885610446668,2024-03-14,2025-04-16
(Mar 25),SPX,p,25.0,-0.25,179,0.8579185689750626,2024-03-14,2025-04-16
(Mar 25),SPX,p,30.0,-0.3,179,0.8507031229920264,2024-03-14,2025-04-16
(Mar 25),SPX,p,35.0,-0.35,179,0.8216223991154887,2024-03-14,2025-04-16
(Mar 25),SPX,p,40.0,-0.4,179,0.837510007963723,2024-03-14,2025-04-16
(Mar 25),SPX,p,45.0,-0.45,179,0.8372104004887028,2024-03-14,2025-04-16
(Mar 25),SPX,p,50.0,-0.5,179,0.838546709276393,2024-03-14,2025-04-16
(Mar 25),VIX,p,0.1,-0.001,39,,2024-06-27,2025-03-17
(Mar 25),VIX,p,0.5,-0.005,37,,2024-06-27,2025-03-17
(Mar 25),VIX,p,1.0,-0.01,47,,2024-06-27,2025-03-17
(Mar 25),VIX,p,2.0,-0.02,169,,2024-06-27,2025-03-17
(Mar 25),VIX,p,5.0,-0.05,174,,2024-06-27,2025-03-17
(Mar 25),VIX,p,10.0,-0.1,175,,2024-06-27,2025-03-17
(Mar 25),VIX,p,15.0,-0.15,175,,2024-06-27,2025-03-17
(Mar 25),VIX,p,20.0,-0.2,175,0.5003708586353175,2024-06-27,2025-03-17
(Mar 25),VIX,p,25.0,-0.25,175,0.5326971279081539,2024-06-27,2025-03-17
(Mar 25),VIX,p,30.0,-0.3,175,0.2722174343129495,2024-06-27,2025-03-17
(Mar 25),VIX,p,35.0,-0.35,175,0.6264343759905184,2024-06-27,2025-03-17
(Mar 25),VIX,p,40.0,-0.4,175,0.2428674993227902,2024-06-27,2025-03-17
(Mar 25),VIX,p,45.0,-0.45,175,0.24224741887191056,2024-06-27,2025-03-17
(Mar 25),VIX,p,50.0,-0.5,175,0.444113485122851,2024-06-27,2025-03-17
(Mar 25),SPX,c,0.1,0.001,63,,2024-03-14,2025-04-16
(Mar 25),SPX,c,0.5,0.005,178,,2024-03-14,2025-04-16
(Mar 25),SPX,c,1.0,0.01,179,0.010002474593550243,2024-03-14,2025-04-16
(Mar 25),SPX,c,2.0,0.02,179,0.054848851749048515,2024-03-14,2025-04-16
(Mar 25),SPX,c,5.0,0.05,179,0.103796909849217,2024-03-14,2025-04-16
(Mar 25),SPX,c,10.0,0.1,179,0.1578789518765636,2024-03-14,2025-04-16
(Mar 25),SPX,c,15.0,0.15,179,0.29662193928368635,2024-03-14,2025-04-16
(Mar 25),SPX,c,20.0,0.2,179,0.36676005736216855,2024-03-14,2025-04-16
(Mar 25),SPX,c,25.0,0.25,179,0.37887944093540415,2024-03-14,2025-04-16
(Mar 25),SPX,c,30.0,0.3,179,0.5530669173988904,2024-03-14,2025-04-16
(Mar 25),SPX,c,35.0,0.35,179,0.5877122780465306,2024-03-14,2025-04-16
(Mar 25),SPX,c,40.0,0.4,179,0.6979473334782694,2024-03-14,2025-04-16
(Mar 25),SPX,c,45.0,0.45,179,0.7697893933384301,2024-03-14,2025-04-16
(Mar 25),SPX,c,50.0,0.5,179,0.7771944178417105,2024-03-14,2025-04-16
(Mar 25),VIX,c,0.1,0.001,160,,2024-06-27,2025-03-17
(Mar 25),VIX,c,0.5,0.005,166,,2024-06-27,2025-03-17
(Mar 25),VIX,c,1.0,0.01,171,,2024-06-27,2025-03-17
(Mar 25),VIX,c,2.0,0.02,171,,2024-06-27,2025-03-17
(Mar 25),VIX,c,5.0,0.05,172,,2024-06-27,2025-03-17
(Mar 25),VIX,c,10.0,0.1,175,,2024-06-27,2025-03-17
(Mar 25),VIX,c,15.0,0.15,175,-0.14162559022860594,2024-06-27,2025-03-17
(Mar 25),VIX,c,20.0,0.2,175,-0.08202784100379708,2024-06-27,2025-03-17
(Mar 25),VIX,c,25.0,0.25,175,,2024-06-27,2025-03-17
(Mar 25),VIX,c,30.0,0.3,175,,2024-06-27,2025-03-17
(Mar 25),VIX,c,35.0,0.35,175,,2024-06-27,2025-03-17
(Mar 25),VIX,c,40.0,0.4,175,,2024-06-27,2025-03-17
(Mar 25),VIX,c,45.0,0.45,175,,2024-06-27,2025-03-17
(Mar 25),VIX,c,50.0,0.5,175,,2024-06-27,2025-03-17
(Apr 25),SPX,p,0.1,-0.001,181,,2024-04-18,2025-05-15
(Apr 25),SPX,p,0.5,-0.005,181,0.6483573747644553,2024-04-18,2025-05-15
(Apr 25),SPX,p,1.0,-0.01,181,0.7613303712463627,2024-04-18,2025-05-15
(Apr 25),SPX,p,2.0,-0.02,181,0.8958701699592637,2024-04-18,2025-05-15
(Apr 25),SPX,p,5.0,-0.05,181,0.9062886939719309,2024-04-18,2025-05-15
(Apr 25),SPX,p,10.0,-0.1,181,0.911217733672116,2024-04-18,2025-05-15
(Apr 25),SPX,p,15.0,-0.15,181,0.9063912507449882,2024-04-18,2025-05-15
(Apr 25),SPX,p,20.0,-0.2,181,0.907213593325495,2024-04-18,2025-05-15
(Apr 25),SPX,p,25.0,-0.25,181,0.9132351449656806,2024-04-18,2025-05-15
(Apr 25),SPX,p,30.0,-0.3,181,0.9207473829901301,2024-04-18,2025-05-15
(Apr 25),SPX,p,35.0,-0.35,181,0.9105491685505337,2024-04-18,2025-05-15
(Apr 25),SPX,p,40.0,-0.4,181,0.9147980407881983,2024-04-18,2025-05-15
(Apr 25),SPX,p,45.0,-0.45,181,0.9120820629948673,2024-04-18,2025-05-15
(Apr 25),SPX,p,50.0,-0.5,181,0.8980101775124645,2024-04-18,2025-05-15
(Apr 25),VIX,p,0.1,-0.001,37,,2024-07-25,2025-04-15
(Apr 25),VIX,p,0.5,-0.005,44,,2024-07-25,2025-04-15
